,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.002058124542236328,0.00016829262090594147,0.000679922103881836,0.00010689221467714674,1,{'n_estimators': 1},0.6815068493150684,0.6712328767123288,0.6986301369863014,0.702054794520548,0.6597938144329897,0.6826436943934472,0.016037289958158337,4
1,0.0029237747192382814,5.271852619928531e-05,0.0007369041442871094,5.283979695790083e-05,2,{'n_estimators': 2},0.6815068493150684,0.660958904109589,0.702054794520548,0.7157534246575342,0.6529209621993127,0.6826389869604105,0.023782381255781283,6
2,0.004310512542724609,0.0002148693843945491,0.0009127616882324219,8.649865479468805e-05,3,{'n_estimators': 3},0.684931506849315,0.6575342465753424,0.7054794520547946,0.6883561643835616,0.6563573883161512,0.6785317516358329,0.018953902594974478,14
3,0.005502080917358399,0.00014118443690186637,0.0010922908782958984,0.0001238607442201281,4,{'n_estimators': 4},0.702054794520548,0.6438356164383562,0.7123287671232876,0.702054794520548,0.6563573883161512,0.6833262721837782,0.02767487090782186,3
4,0.006477832794189453,0.00018596936492656574,0.0010796070098876953,3.580770850164734e-05,5,{'n_estimators': 5},0.6815068493150684,0.6541095890410958,0.6952054794520548,0.702054794520548,0.6597938144329897,0.6785341053523514,0.018908993842974047,13
5,0.007435846328735352,0.00012641468382943694,0.0011946678161621094,4.4393360166259454e-05,6,{'n_estimators': 6},0.684931506849315,0.6575342465753424,0.708904109589041,0.6917808219178082,0.6597938144329897,0.6805888998728993,0.019543904793074034,8
6,0.009124231338500977,0.0003766048706204275,0.001506805419921875,0.00011730513917238065,7,{'n_estimators': 7},0.684931506849315,0.6678082191780822,0.708904109589041,0.6952054794520548,0.6632302405498282,0.6840159111236642,0.01697174450177386,2
7,0.009940910339355468,0.00022917358361322027,0.0014777183532714844,7.685425763390742e-05,8,{'n_estimators': 8},0.702054794520548,0.6575342465753424,0.6952054794520548,0.702054794520548,0.6666666666666666,0.684703196347032,0.018846337062547007,1
8,0.011188173294067382,0.00022561113635906458,0.0016231536865234375,9.92441212879507e-05,9,{'n_estimators': 9},0.702054794520548,0.6472602739726028,0.6917808219178082,0.7123287671232876,0.6597938144329897,0.6826436943934472,0.024962311212715187,4
9,0.012477779388427734,0.00016678592789092485,0.0017570018768310546,9.966211450887464e-05,10,{'n_estimators': 10},0.6917808219178082,0.6541095890410958,0.7054794520547946,0.7054794520547946,0.6494845360824743,0.6812667702301934,0.024619813576574858,7
10,0.013589239120483399,0.00017822809253935604,0.0019135475158691406,4.699277974335316e-05,11,{'n_estimators': 11},0.6986301369863014,0.6506849315068494,0.6952054794520548,0.702054794520548,0.6494845360824743,0.6792119757096455,0.023883736886374355,12
11,0.014750385284423828,0.00019918764912286245,0.0020940303802490234,6.177921801562844e-05,12,{'n_estimators': 12},0.6917808219178082,0.6541095890410958,0.6952054794520548,0.702054794520548,0.6529209621993127,0.6792143294261639,0.021245750673245693,11
12,0.01611161231994629,0.0003422586520631902,0.0022960662841796874,0.00010795024580518256,13,{'n_estimators': 13},0.6952054794520548,0.6506849315068494,0.708904109589041,0.6917808219178082,0.6563573883161512,0.6805865461563808,0.022900078897614376,9
13,0.01719059944152832,0.00040810320946063654,0.0023097991943359375,0.0001289742707273384,14,{'n_estimators': 14},0.6917808219178082,0.6506849315068494,0.6952054794520548,0.6986301369863014,0.6632302405498282,0.6799063220825683,0.019275012682579463,10
