,hold,profit,nums of trade
POOL,1150.0,2794.4915771484375,1.0
AVGO,0.0,27850.04524230957,2.0
FLT,0.0,52582.306938171416,4.0
AZO,0.0,370814.0390625,5.0
FB,0.0,-9879.841186523445,2.0
SBUX,0.0,225829.00506591797,2.0
ULTA,0.0,67010.9910888673,5.0
HD,0.0,2393.957221984856,2.0
BA,0.0,5176.677642822266,2.0
LB,0.0,3451.2562103271484,2.0
HII,0.0,51103.07061767578,2.0
REGN,0.0,71501.35499572754,4.0
LW,0.0,472227.61974334717,4.0
NFLX,906.0,102307.54101562512,4.0
ABMD,694.0,10184.14631652832,3.0
PAYC,3370.0,509000.2088165283,5.0
DPZ,0.0,662025.1435279846,7.0
ANET,0.0,-4300.799102783203,2.0
LLY,0.0,52214.43453216553,2.0
APTV,0.0,244035.2396697998,3.0
MKTX,2595.0,335088.5778808594,6.0
BIIB,0.0,8820.243316650398,2.0
ALK,0.0,-29285.273262023926,2.0
TSLA,1089.0,133358.8974609375,1.0
DXCM,46.0,2451.3403930664062,1.0
TDG,0.0,20922.86668395996,4.0
NOC,0.0,-26001.378662109375,2.0
ORLY,0.0,12739.050384521488,3.0
NOW,0.0,473021.80841064453,2.0
EXR,0.0,-66304.22441864014,2.0
PRGO,0.0,6418.311538696289,2.0
DLTR,0.0,-4889.566226959236,4.0
KR,0.0,-30688.32861328122,2.0
FANG,0.0,189676.33473205566,5.0
UNH,0.0,5294.731719970703,3.0
HRL,0.0,-40706.90607070923,2.0
KEYS,0.0,120354.79202270502,2.0
STZ,0.0,3930.4649963378906,4.0
NCLH,0.0,49608.26402282715,2.0
CDW,0.0,243739.80433654774,6.0
CMG,0.0,-55103.656005859375,4.0
FTV,0.0,-26492.4959564209,2.0
CHTR,1092.0,103367.86358642578,6.0
CHD,0.0,95776.05009460426,2.0
ALXN,0.0,145837.07994079584,4.0
PSX,0.0,-5031.803512573213,2.0
ABBV,0.0,-17952.326934814424,4.0
FBHS,0.0,143509.91594696045,3.0
